"","V1","V2","V3","V4","V5","cvmetrics"
"Accuracy",0.505747126436782,0.5,0.505747126436782,0.505747126436782,0.5,0.503448275862069
"Kappa",0,0,0,0,0,0
"AccuracyLower",0.396376809772873,0.392697998948573,0.396376809772873,0.396376809772873,0.39145940550225,0.394657566753888
"AccuracyUpper",0.61471509995583,0.607302001051427,0.61471509995583,0.61471509995583,0.60854059449775,0.611997579083334
"corr_Sensitivity",1,1,1,1,1,1
"corr_Specificity",0,0,0,0,0,0
"corr_Pos.Pred.Value",0.505747126436782,0.5,0.505747126436782,0.505747126436782,0.5,0.503448275862069
"corr_Neg.Pred.Value",NA,NA,NA,NA,NA,NA
"corr_Precision",0.505747126436782,0.5,0.505747126436782,0.505747126436782,0.5,0.503448275862069
"corr_Recall",1,1,1,1,1,1
"corr_F1",0.67175572519084,0.666666666666667,0.67175572519084,0.67175572519084,0.666666666666667,0.66972010178117
"corr_Prevalence",0.505747126436782,0.5,0.505747126436782,0.505747126436782,0.5,0.503448275862069
"corr_Detection.Rate",0.505747126436782,0.5,0.505747126436782,0.505747126436782,0.5,0.503448275862069
"corr_Detection.Prevalence",1,1,1,1,1,1
"corr_Balanced.Accuracy",0.5,0.5,0.5,0.5,0.5,0.5
"nocorr_Sensitivity",0,0,0,0,0,0
"nocorr_Specificity",1,1,1,1,1,1
"nocorr_Pos.Pred.Value",NA,NA,NA,NA,NA,NA
"nocorr_Neg.Pred.Value",0.655172413793103,0.655555555555556,0.655172413793103,0.655172413793103,0.659090909090909,0.656032741205155
"nocorr_Precision",NA,NA,NA,NA,NA,NA
"nocorr_Recall",0,0,0,0,0,0
"nocorr_F1",NA,NA,NA,NA,NA,NA
"nocorr_Prevalence",0.344827586206897,0.344444444444444,0.344827586206897,0.344827586206897,0.340909090909091,0.343967258794845
"nocorr_Detection.Rate",0,0,0,0,0,0
"nocorr_Detection.Prevalence",0,0,0,0,0,0
"nocorr_Balanced.Accuracy",0.5,0.5,0.5,0.5,0.5,0.5
"both_Sensitivity",0,0,0,0,0,0
"both_Specificity",1,1,1,1,1,1
"both_Pos.Pred.Value",NA,NA,NA,NA,NA,NA
"both_Neg.Pred.Value",0.850574712643678,0.844444444444444,0.850574712643678,0.850574712643678,0.840909090909091,0.847415534656914
"both_Precision",NA,NA,NA,NA,NA,NA
"both_Recall",0,0,0,0,0,0
"both_F1",NA,NA,NA,NA,NA,NA
"both_Prevalence",0.149425287356322,0.155555555555556,0.149425287356322,0.149425287356322,0.159090909090909,0.152584465343086
"both_Detection.Rate",0,0,0,0,0,0
"both_Detection.Prevalence",0,0,0,0,0,0
"both_Balanced.Accuracy",0.5,0.5,0.5,0.5,0.5,0.5
