"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","cvmetrics"
"Accuracy",0.723684210526316,0.77027027027027,0.77027027027027,0.693333333333333,0.72972972972973,0.689189189189189,0.684210526315789,0.810810810810811,0.662162162162162,0.706666666666667,0.724032716927454
"Kappa",0.430813124108417,0.521673003802281,0.508209538702111,0.358497582744515,0.449814126394052,0.34689178818112,0.363128491620112,0.596887159533074,0.302938960060286,0.371189024390244,0.425004279953621
"AccuracyLower",0.609142949216601,0.657859323489474,0.657859323489474,0.576164467000938,0.613901557795754,0.57095282095612,0.567452098193474,0.702994661735635,0.542824046357877,0.590216651112643,0.608936789934799
"AccuracyUpper",0.820127572442849,0.860111346041351,0.860111346041351,0.794682411620111,0.826450531073588,0.791736473161998,0.786105407745419,0.892526978648921,0.768072819456811,0.80619071553584,0.820611560176824
"Sensitivity",0.772727272727273,0.837209302325581,0.906976744186046,0.772727272727273,0.744186046511628,0.790697674418605,0.681818181818182,0.930232558139535,0.720930232558139,0.840909090909091,0.799841437632135
"Specificity",0.65625,0.67741935483871,0.580645161290323,0.580645161290323,0.709677419354839,0.548387096774194,0.6875,0.645161290322581,0.580645161290323,0.516129032258065,0.618245967741936
"Pos.Pred.Value",0.755555555555556,0.782608695652174,0.75,0.723404255319149,0.780487804878049,0.708333333333333,0.75,0.784313725490196,0.704545454545455,0.711538461538462,0.745078728631237
"Neg.Pred.Value",0.67741935483871,0.75,0.818181818181818,0.642857142857143,0.666666666666667,0.653846153846154,0.611111111111111,0.869565217391304,0.6,0.695652173913043,0.698529963880595
"Precision",0.755555555555556,0.782608695652174,0.75,0.723404255319149,0.780487804878049,0.708333333333333,0.75,0.784313725490196,0.704545454545455,0.711538461538462,0.745078728631237
"Recall",0.772727272727273,0.837209302325581,0.906976744186046,0.772727272727273,0.744186046511628,0.790697674418605,0.681818181818182,0.930232558139535,0.720930232558139,0.840909090909091,0.799841437632135
"F1",0.764044943820225,0.808988764044944,0.821052631578947,0.747252747252747,0.761904761904762,0.747252747252747,0.714285714285714,0.851063829787234,0.71264367816092,0.770833333333333,0.769932315142157
"Prevalence",0.578947368421053,0.581081081081081,0.581081081081081,0.586666666666667,0.581081081081081,0.581081081081081,0.578947368421053,0.581081081081081,0.581081081081081,0.586666666666667,0.581771455666192
"Detection.Rate",0.447368421052632,0.486486486486487,0.527027027027027,0.453333333333333,0.432432432432432,0.459459459459459,0.394736842105263,0.540540540540541,0.418918918918919,0.493333333333333,0.465363679468943
"Detection.Prevalence",0.592105263157895,0.621621621621622,0.702702702702703,0.626666666666667,0.554054054054054,0.648648648648649,0.526315789473684,0.689189189189189,0.594594594594595,0.693333333333333,0.624923186344239
"Balanced.Accuracy",0.714488636363636,0.757314328582146,0.743810952738185,0.676686217008798,0.726931732933233,0.669542385596399,0.684659090909091,0.787696924231058,0.650787696924231,0.678519061583578,0.709043702687035
